teamA,teamB,week,season
"Burnley","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Everton","Liverpool",15,1970-01-01T00:00:02.014Z
"Leicester City","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Manchester City","Hull City",15,1970-01-01T00:00:02.014Z
"Newcastle United","Stoke City",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Southampton",15,1970-01-01T00:00:02.014Z
"Swansea City","Sunderland",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Arsenal",15,1970-01-01T00:00:02.014Z
"West Ham United","Manchester United",15,1970-01-01T00:00:02.014Z
"Arsenal","Leicester City",15,1970-01-01T00:00:02.014Z
"Hull City","Aston Villa",15,1970-01-01T00:00:02.014Z
"Manchester United","Burnley",15,1970-01-01T00:00:02.014Z
"Southampton","West Ham United",15,1970-01-01T00:00:02.014Z
"Sunderland","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Newcastle United",15,1970-01-01T00:00:02.014Z
"Liverpool","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Swansea City",15,1970-01-01T00:00:02.014Z
"Chelsea","Everton",15,1970-01-01T00:00:02.014Z
"Stoke City","Manchester City",15,1970-01-01T00:00:02.014Z
"Aston Villa","Stoke City",15,1970-01-01T00:00:02.014Z
"Chelsea","Burnley",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Arsenal",15,1970-01-01T00:00:02.014Z
"Everton","Leicester City",15,1970-01-01T00:00:02.014Z
"Hull City","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Manchester City","Newcastle United",15,1970-01-01T00:00:02.014Z
"Southampton","Liverpool",15,1970-01-01T00:00:02.014Z
"Sunderland","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Swansea City","Manchester United",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","West Ham United",15,1970-01-01T00:00:02.014Z
"Arsenal","Everton",15,1970-01-01T00:00:02.014Z
"Burnley","Swansea City",15,1970-01-01T00:00:02.014Z
"Leicester City","Chelsea",15,1970-01-01T00:00:02.014Z
"Liverpool","Manchester City",15,1970-01-01T00:00:02.014Z
"Manchester United","Sunderland",15,1970-01-01T00:00:02.014Z
"Newcastle United","Aston Villa",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Stoke City","Hull City",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Southampton",15,1970-01-01T00:00:02.014Z
"West Ham United","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Aston Villa","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Hull City","Sunderland",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Arsenal",15,1970-01-01T00:00:02.014Z
"Southampton","Crystal Palace",15,1970-01-01T00:00:02.014Z
"West Ham United","Chelsea",15,1970-01-01T00:00:02.014Z
"Liverpool","Burnley",15,1970-01-01T00:00:02.014Z
"Manchester City","Leicester City",15,1970-01-01T00:00:02.014Z
"Newcastle United","Manchester United",15,1970-01-01T00:00:02.014Z
"Stoke City","Everton",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Swansea City",15,1970-01-01T00:00:02.014Z
"Arsenal","West Ham United",15,1970-01-01T00:00:02.014Z
"Burnley","Manchester City",15,1970-01-01T00:00:02.014Z
"Chelsea","Southampton",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Everton","Newcastle United",15,1970-01-01T00:00:02.014Z
"Leicester City","Hull City",15,1970-01-01T00:00:02.014Z
"Manchester United","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
